Wall time,Step,Value
1611064561.332475,221000,-211.18612670898438
1611064576.3004773,221200,-200.4547882080078
1611064609.450474,221700,-208.0027618408203
1611064630.262474,222000,-205.2289581298828
1611064685.813476,222800,-209.0745849609375
1611064711.8504748,223200,-197.06161499023438
1611064848.5094767,225200,-206.89163208007812
1611064884.3874795,225700,-202.38943481445312
1611064891.4534779,225800,-204.653076171875
1611064905.3784754,226000,-213.27540588378906
1611064930.8854752,226300,-210.49795532226562
1611064961.9904778,226700,-210.60671997070312
1611064969.3524776,226800,-211.5170440673828
1611065021.3174744,227500,-203.69134521484375
1611065041.8664744,227800,-211.74285888671875
1611065089.5214758,228300,-209.69488525390625
1611065228.723475,230200,-205.41485595703125
1611065295.665474,231200,-213.54446411132812
1611065335.7124763,231800,-212.79010009765625
1611065381.765476,232400,-217.4682159423828
1611065411.2114766,232800,-220.0952911376953
1611065492.0164757,234000,-210.53472900390625
1611065502.2504778,234100,-214.105224609375
1611065677.335474,236600,-212.5180206298828
1611065742.6790657,237500,-217.39498901367188
1611066029.642715,241000,-214.8766632080078
1611066037.776714,241100,-219.73568725585938
1611066052.7717156,241300,-209.79539489746094
1611066396.4286902,245700,-212.77334594726562
1611066462.0397904,246500,-213.06101989746094
1611066516.3327892,247200,-216.51870727539062
1611066531.873789,247400,-220.49356079101562
1611066547.8066065,247600,-212.08306884765625
1611066591.0796876,248100,-217.66165161132812
1611066780.134258,250600,-214.53659057617188
1611066787.2592566,250700,-214.5210418701172
1611066861.7303035,251700,-216.6558380126953
1611066875.7333033,251900,-211.9942626953125
1611066923.0400784,252400,-209.18453979492188
1611067029.1250358,253800,-214.54440307617188
1611067085.6175609,254400,-214.65011596679688
1611067156.049082,255300,-215.87039184570312
1611067272.1412172,256800,-213.47238159179688
1611067301.5572143,257200,-216.26937866210938
1611067315.0992115,257400,-214.31411743164062
1611067526.8852568,259900,-215.3216552734375
1611067634.0963087,261100,-213.9842529296875
1611067716.4304059,262100,-213.03976440429688
1611067763.8474095,262700,-217.1916046142578
1611067903.7831676,264400,-223.16510009765625
1611067952.4507496,265000,-221.07696533203125
1611067962.412748,265100,-215.19223022460938
1611068125.5492706,266500,-223.5409393310547
1611068183.7443278,267100,-226.62765502929688
1611068232.1353889,267600,-215.44854736328125
1611068434.0176833,269900,-215.92510986328125
1611068494.6106853,270600,-215.25645446777344
1611068531.1912117,271100,-219.8092803955078
1611068644.7028842,272400,-216.6337890625
1611068699.0348864,273100,-215.87950134277344
